trialNo,trialType,participantRole,targetImage,distractorImage,soundFile,partner
190,fillerDir,direct,k2_c1,k1_c1,NA,overspecific
191,fillerMatch,match,f_sa3,f_su2,f_sa3,overspecific
192,fillerDir,direct,m_sa2,m_ha4,NA,overspecific
193,fillerMatch,match,k3_c2,k2_c2,k3_c2_1,overspecific
194,fillerDir,direct,k1_c2,g3_c2,NA,overspecific
195,prime,match,k2_c2,g3_c1,k2_c2_1,overspecific
196,fillerDir,direct,ani11,ani6,NA,overspecific
197,fillerMatch,match,frv10,frv15,frv10_1,overspecific
198,target,direct,k1_c2,g4_c1,NA,overspecific
199,fillerMatch,match,frv6,frv3,frv6_1,overspecific
200,fillerDir,direct,g2_c3,k2_c3,NA,overspecific
201,fillerMatch,match,k1_c3,k1_c4,k1_c3_1,overspecific
202,fillerDir,direct,f_an2,f_ha3,NA,overspecific
203,prime,match,g4_c1,g2_c2,g4_c1_1,overspecific
204,fillerDir,direct,ani3,ani9,NA,overspecific
205,fillerMatch,match,f_ha2,f_fr1,f_ha2,overspecific
206,target,direct,g4_c1,g2_c3,NA,overspecific
207,fillerMatch,match,m_sa3,m_ha2,m_sa3,overspecific
208,fillerDir,direct,k3_c1,k3_c4,NA,overspecific
209,prime,match,k3_c1,g1_c3,k3_c1_1,overspecific
210,fillerDir,direct,f_ha4,f_di1,NA,overspecific
211,fillerMatch,match,ani4,ani6,ani4_1,overspecific
212,target,direct,k2_c4,g1_c1,NA,overspecific
213,fillerMatch,match,f_su1,f_fr3,f_su1,overspecific
214,fillerDir,direct,f_di1,f_fr4,NA,overspecific
215,prime,match,k1_c3,k4_c1,k1_c3_1,overspecific
216,fillerDir,direct,frv4,frv11,NA,overspecific
217,fillerMatch,match,frv11,frv12,frv11_1,overspecific
218,target,direct,k3_c3,g2_c1,NA,overspecific
219,fillerMatch,match,ani13,ani6,ani13_1,overspecific
220,fillerDir,direct,m_su2,m_sa2,NA,overspecific
221,fillerMatch,match,ani12,ani11,ani12_1,overspecific
222,fillerDir,direct,f_fr3,f_di3,NA,overspecific
223,fillerMatch,match,g2_c4,g2_c1,g2_c4_1,overspecific
224,fillerDir,direct,frv12,frv5,NA,overspecific
225,fillerMatch,match,frv14,frv2,frv14_1,overspecific
226,fillerDir,direct,f_sa4,f_su3,NA,overspecific
227,prime,match,g4_c3,k4_c4,g4_c3_1,overspecific
228,fillerDir,direct,ani2,ani16,NA,overspecific
229,fillerMatch,match,ani8,ani12,ani8_1,overspecific
230,target,direct,g3_c4,g2_c2,NA,overspecific
231,fillerMatch,match,frv16,frv12,frv16_1,overspecific
232,fillerDir,direct,k3_c4,k3_c1,NA,overspecific
